Date, Price 
2020-Jan,2.09
2019-Nov,2.54
2019-Oct,2.36
2019-Aug,2.36
2019-Jul,2.33
2019-May,2.59
2019-Apr,2.73
2019-Mar,3.19
2019-Feb,2.70
2019-Jan,
2018-Nov,3.36
2018-Oct,3.13
2018-Aug,2.80
2018-Jun,2.91
2018-May,2.75
2018-Mar,2.67
2018-Feb,3.06
2018-Jan,
2017-Dec,2.84
2017-Nov,2.68
2017-Sep,2.88
2017-Aug,2.80
2017-Jun,3.05
2017-May,3.20
2017-Mar,2.54
2017-Feb,3.15
2016-Dec,3.32
2016-Nov,2.53
2016-Sep,2.95
2016-Aug,2.97
2016-Jul,2.89
2016-Jun,2.25
2016-Apr,1.88
2016-Mar,1.57
2016-Feb,2.28
2016-Jan,2.28
2015-Dec,2.11
2015-Oct,2.37
2015-Sep,2.70
2015-Jul,2.78
2015-Jun,2.78
2015-May,2.68
2015-Apr,2.62
2015-Jan,
2014-Dec,4.30
2014-Oct,4.14
2014-Sep,
2014-Aug,3.77
2014-Jul,4.47
2014-May,4.79
2014-Apr,4.39
2014-Jan,
2013-Nov,3.45
2013-Oct,3.56
2013-Aug,3.44
2013-Jul,3.52
2013-May,4.31
2013-Apr,3.97
2013-Mar,3.54
2013-Feb,3.34
2013-Jan,
2012-Nov,3.50
2012-Oct,3.19
2012-Aug,3.20
2012-Jun,2.24
2012-May,2.29
2012-Mar,2.45
2012-Feb,2.32
2011-Dec,3.49
2011-Nov,3.49
2011-Sep,4.18
2011-Aug,4.29
2011-Jul,4.33
2011-Jun,4.62
2011-Apr,4.32
2011-Mar,3.93
2011-Feb,4.42
2010-Dec,4.21
2010-Nov,3.42
2010-Oct,3.67
2010-Sep,3.73
2010-Jul,4.54
2010-Jun,4.39
2010-Apr,3.72
2010-Mar,4.83
2010-Feb,5.30
2010-Jan,
2009-Dec,4.30
2009-Oct,2.91
2009-Sep,2.36
2009-Jul,3.63
2009-Jun,3.86
2009-May,3.30
2009-Apr,3.56
2009-Jan,
2008-Dec,6.48
2008-Oct,7.41
2008-Sep,
2008-Aug,9.05
2008-Jul,13.28
2008-May,10.66
2008-Apr,9.92
2008-Feb,7.88
2008-Jan,
2007-Nov,7.09
2007-Oct,6.07
2007-Aug,6.19
2007-Jun,7.57
2007-May,7.64
2007-Mar,7.07
2007-Feb,7.93
2007-Jan,
2006-Dec,8.42
2006-Nov,7.15
2006-Sep,5.24
2006-Aug,8.66
2006-Jun,6.25
2006-May,6.53
2006-Mar,6.62
2006-Feb,8.71
2005-Dec,12.58
2005-Nov,10.80
2005-Sep,11.36
2005-Aug,8.03
2005-Jul,7.01
2005-Jun,6.36
2005-Apr,7.57
2005-Mar,6.63
2005-Feb,6.28
2004-Dec,6.78
2004-Nov,6.98
2004-Oct,5.38
2004-Sep,5.02
2004-Jul,5.95
2004-Jun,6.45
2004-Apr,5.82
2004-Mar,5.17
2004-Jan,
2003-Dec,5.02
2003-Oct,4.47
2003-Sep,
2003-Aug,4.71
2003-Jul,5.22
2003-May,5.32
2003-Apr,4.90
2003-Jan,
2002-Nov,4.07
2002-Oct,4.41
2002-Aug,3.07
2002-Jul,3.28
2002-May,3.79
2002-Apr,3.43
2002-Mar,2.51
2002-Feb,2.28
2002-Jan,
2001-Nov,2.99
2001-Oct,1.74
2001-Aug,3.27
2001-Jun,3.70
2001-May,4.55
2001-Mar,5.25
2001-Feb,5.82
2001-Jan,
2000-Dec,6.53
2000-Nov,4.40
2000-Sep,4.70
2000-Aug,3.78
2000-Jun,4.39
2000-May,3.16
2000-Mar,2.71
2000-Feb,2.81
1999-Dec,2.17
1999-Nov,2.73
1999-Oct,2.39
1999-Sep,2.71
1999-Jul,2.29
1999-Jun,2.34
1999-Apr,1.95
1999-Mar,1.65
1999-Feb,1.75
1999-Jan,
1998-Dec,1.41
1998-Oct,2.33
1998-Sep,1.84
1998-Jul,2.46
1998-Jun,2.10
1998-May,2.11
1998-Apr,2.45
1998-Jan,
1997-Dec,2.52
1997-Oct,3.08
1997-Sep,
1997-Aug,2.24
1997-Jul,2.16
1997-May,2.19
1997-Apr,1.95
